
applicant_id,nser_score,income_per_month_pkrs,region,family_size,eligible_for_sehat_sahulat,reason
423,7,101638,Punjab,4,No,Income or score above eligibility criteria
424,46,64809,Khyber Pakhtunkhwa,7,No,Income or score above eligibility criteria
425,50,108854,Khyber Pakhtunkhwa,5,No,Income or score above eligibility criteria
426,44,112928,Azad Jammu & Kashmir,8,No,Income or score above eligibility criteria
427,16,59401,Sindh,3,No,Income or score above eligibility criteria
428,44,101107,Balochistan,5,No,Income or score above eligibility criteria
429,29,91386,Sindh,7,No,Income or score above eligibility criteria
430,41,17521,Balochistan,7,No,Income or score above eligibility criteria
431,7,36417,Azad Jammu & Kashmir,3,No,Income or score above eligibility criteria
432,22,87324,Islamabad,4,No,Income or score above eligibility criteria
433,47,13748,Gilgit-Baltistan,7,No,Income or score above eligibility criteria
434,18,69682,Balochistan,8,No,Income or score above eligibility criteria
435,40,20889,Khyber Pakhtunkhwa,2,No,Income or score above eligibility criteria
436,11,71112,Azad Jammu & Kashmir,8,No,Income or score above eligibility criteria
437,25,58752,Balochistan,3,No,Income or score above eligibility criteria
438,21,32180,Islamabad,2,No,Income or score above eligibility criteria
439,34,8501,Punjab,7,No,Income or score above eligibility criteria
440,49,93555,Gilgit-Baltistan,5,No,Income or score above eligibility criteria
441,29,50043,Gilgit-Baltistan,5,No,Income or score above eligibility criteria
442,17,56992,Punjab,2,No,Income or score above eligibility criteria
443,21,20031,Gilgit-Baltistan,3,Yes,NSER score below threshold and low income
444,25,92856,Gilgit-Baltistan,5,No,Income or score above eligibility criteria
445,36,65470,Punjab,2,No,Income or score above eligibility criteria
446,40,91117,Sindh,7,No,Income or score above eligibility criteria
447,33,23383,Balochistan,8,No,Income or score above eligibility criteria
448,22,115305,Sindh,3,No,Income or score above eligibility criteria
449,6,84559,Punjab,3,No,Income or score above eligibility criteria
450,23,21272,Islamabad,7,Yes,NSER score below threshold and low income
451,30,27079,Punjab,7,Yes,NSER score below threshold and low income
452,5,93785,Khyber Pakhtunkhwa,3,No,Income or score above eligibility criteria
453,33,51935,Sindh,3,No,Income or score above eligibility criteria
454,50,9514,Gilgit-Baltistan,6,No,Income or score above eligibility criteria
455,18,62941,Gilgit-Baltistan,2,No,Income or score above eligibility criteria
456,45,111366,Islamabad,7,No,Income or score above eligibility criteria
457,47,98901,Gilgit-Baltistan,2,No,Income or score above eligibility criteria
458,29,95485,Khyber Pakhtunkhwa,5,No,Income or score above eligibility criteria
459,8,83407,Punjab,2,No,Income or score above eligibility criteria
460,29,105547,Sindh,3,No,Income or score above eligibility criteria
461,28,36265,Sindh,2,No,Income or score above eligibility criteria
462,6,60270,Punjab,2,No,Income or score above eligibility criteria
463,26,112548,Sindh,7,No,Income or score above eligibility criteria
464,47,13280,Sindh,2,No,Income or score above eligibility criteria
465,47,27004,Gilgit-Baltistan,3,No,Income or score above eligibility criteria
466,7,59484,Islamabad,2,No,Income or score above eligibility criteria
467,25,47294,Islamabad,7,No,Income or score above eligibility criteria
468,17,86877,Sindh,6,No,Income or score above eligibility criteria
469,30,61083,Punjab,3,No,Income or score above eligibility criteria
470,18,18878,Khyber Pakhtunkhwa,4,Yes,NSER score below threshold and low income
471,16,6965,Balochistan,7,Yes,NSER score below threshold and low income
472,25,6570,Balochistan,3,Yes,NSER score below threshold and low income
473,34,33848,Punjab,7,No,Income or score above eligibility criteria
474,22,90189,Islamabad,4,No,Income or score above eligibility criteria
475,7,13825,Sindh,5,Yes,NSER score below threshold and low income
476,24,105603,Islamabad,5,No,Income or score above eligibility criteria
477,11,98392,Islamabad,8,No,Income or score above eligibility criteria
478,41,27473,Khyber Pakhtunkhwa,2,No,Income or score above eligibility criteria
479,43,47513,Gilgit-Baltistan,7,No,Income or score above eligibility criteria
480,29,93853,Azad Jammu & Kashmir,7,No,Income or score above eligibility criteria
481,13,48522,Sindh,7,No,Income or score above eligibility criteria
482,49,46676,Azad Jammu & Kashmir,7,No,Income or score above eligibility criteria
483,35,13849,Khyber Pakhtunkhwa,2,No,Income or score above eligibility criteria
484,43,81681,Balochistan,5,No,Income or score above eligibility criteria
485,37,88963,Gilgit-Baltistan,3,No,Income or score above eligibility criteria
486,37,82000,Gilgit-Baltistan,2,No,Income or score above eligibility criteria
487,19,7780,Islamabad,8,Yes,NSER score below threshold and low income
488,12,45481,Sindh,7,No,Income or score above eligibility criteria
489,32,104253,Sindh,6,No,Income or score above eligibility criteria
490,10,12854,Sindh,4,Yes,NSER score below threshold and low income
491,36,43877,Sindh,3,No,Income or score above eligibility criteria
492,29,31789,Gilgit-Baltistan,2,No,Income or score above eligibility criteria
493,20,100067,Islamabad,5,No,Income or score above eligibility criteria
494,26,22598,Khyber Pakhtunkhwa,4,Yes,NSER score below threshold and low income
495,46,108149,Azad Jammu & Kashmir,2,No,Income or score above eligibility criteria
496,38,108780,Balochistan,7,No,Income or score above eligibility criteria
497,23,103376,Punjab,3,No,Income or score above eligibility criteria
498,26,49922,Sindh,3,No,Income or score above eligibility criteria
499,39,12087,Gilgit-Baltistan,3,No,Income or score above eligibility criteria
500,48,96262,Gilgit-Baltistan,3,No,Income or score above eligibility criteria
